	994523	-365	216	410	
	994722	302	-307	-125	
	994923	44	302	228	
	995124	-377	43	57	
	995324	-497	10	173	
	997053	401	-19	48	
	997253	-368	-134	119	
	997453	-59	254	-17	
	997654	38	-325	-413	
	997855	-215	-197	258	
	999583	-36	385	250	
	999784	148	-310	448	
	999985	8	-443	244	
	1000184	268	502	-15	
	1000385	163	60	55	
	1002114	-153	397	-410	
	1002314	-266	174	-421	
	1002514	-220	-358	22	
	1002715	-97	-387	-481	
	1002915	-401	111	319	
	0	-73	-115	-303	
	199	-231	-460	63	
	400	-356	-336	-129	
	601	-310	-176	396	
	801	-392	351	277	
	2528	210	-379	-463	
	2728	410	-145	-110	
	2929	155	457	-357	
	3130	-277	454	391	
	3330	505	186	203	
